lat,lon,dwell_time,label
30.8176490142459,75.17045852070966,40.18150830480554,Old Grain Market Chowk
30.817956908956923,75.17042975398759,33.126904344406555,Old Grain Market Chowk
30.817973763844652,75.17073023041876,31.244204912520384,Old Grain Market Chowk
30.817662768013076,75.17036097469216,31.274161971437945,Old Grain Market Chowk
30.817572588681468,75.1699260159266,21.200657339895738,Old Grain Market Chowk
30.817331313741228,75.1701961506639,37.51397866076219,Old Grain Market Chowk
30.817227592777343,75.1700763088896,46.72519015137243,Old Grain Market Chowk
30.817432267109854,75.17052025846141,23.602014510292346,Old Grain Market Chowk
30.817336685182642,75.17053327677692,25.79205138062158,Old Grain Market Chowk
30.817612709405502,75.17031980839303,32.666450001653786,Old Grain Market Chowk
30.81731948801633,75.17105568345535,34.89202220209653,Old Grain Market Chowk
30.817182686721313,75.17074676347363,25.233250800231822,Old Grain Market Chowk
30.8175626590785,75.16991209896284,24.374511608812554,Old Grain Market Chowk
30.817559058370758,75.170721539974,36.37094624951976,Old Grain Market Chowk
30.81746530551528,75.17040966889132,23.17182407706058,Old Grain Market Chowk
30.81728404673748,75.17036180836871,43.45697780975132,Old Grain Market Chowk
30.81760308548687,75.1699710879534,37.592671755158364,Old Grain Market Chowk
30.817384475315873,75.17029692339992,39.89341031072694,Old Grain Market Chowk
30.817809299856748,75.17077938403574,28.28625981421889,Old Grain Market Chowk
30.817407236287245,75.17059937902943,42.80436101697887,Old Grain Market Chowk
30.817356247728647,75.170444302307,26.149320207951774,Old Grain Market Chowk
30.817141138012776,75.17074375774672,45.84992022856658,Old Grain Market Chowk
30.817478396963526,75.17080105986938,37.89308820038107,Old Grain Market Chowk
30.817306464073617,75.17060841868165,47.304292531727754,Old Grain Market Chowk
30.817489252188267,75.17096939309675,16.0,Old Grain Market Chowk
30.81774657075131,75.17052611412048,32.60794119627306,Old Grain Market Chowk
30.817527528232958,75.16990372932563,33.242624897299905,Old Grain Market Chowk
30.817607133771453,75.17094336821343,30.85383825381082,Old Grain Market Chowk
30.81725745191913,75.17034947288693,42.32321694161659,Old Grain Market Chowk
30.8175986253329,75.17034107193888,39.106139464906846,Old Grain Market Chowk
30.817529123264805,75.17079059349716,29.38357524898118,Old Grain Market Chowk
30.81740170135602,75.17038236755407,23.29188041494305,Old Grain Market Chowk
30.817588836083118,75.17057831658165,35.04090765313969,Old Grain Market Chowk
30.817429623859987,75.17007538877739,31.63483741787713,Old Grain Market Chowk
30.817397185645042,75.17025931681924,33.70971430667193,Old Grain Market Chowk
